id,content,created_at,curated,description,,,,,,file_bom,image_layout,image_main,image_schematic,proficiency,title,updated_at,category_id,user_id
1,"This Arduino project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,1,Complete IoT system for home automation with temperature sensors and remote control.,,,,,,,,main_arduino-11.png,,BEGINNER,Arduino  (1-1-1-1-1),07:14.3,1,1
2,"This ESP32 project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,1,ESP32-based weather monitoring system with cloud connectivity and data logging.,,,,,,,,main_arduino-12.png,,BEGINNER,Arduino  (2-2-1-1-1),15:14.0,1,2
3,"This Robotics project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,Autonomous robot car using Raspberry Pi with computer vision and obstacle avoidance.,,,,,,,,main_arduino-13.png,,BEGINNER,Arduino  (3-3-1-1-0),00:00.0,1,3
4,"This PCB Design project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,Custom PCB for USB-C power delivery with overvoltage and thermal protection.,,,,,,,,main_arduino-14.png,,BEGINNER,Arduino  (4-4-1-1-0),37:53.7,1,4
5,"This STM32 project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,1,Build a compact oscilloscope using STM32 microcontroller and TFT display.,,,,,,,,main_arduino-16.png,,BEGINNER,Arduino  (5-5-1-1-1),00:00.0,1,5
6,"This IoT project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,Long-range wireless environmental monitoring with sensors and LoRa communication.,,,,,,,,main_arduino-21.png,,INTERMEDIATE,Arduino  (6-6-1-2-0),00:00.0,1,6
7,"This Arduino project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,Arduino-based RGB lighting controller with sound-reactive effects.,,,,,,,,main_arduino-22.png,,INTERMEDIATE,Arduino  (7-7-1-2-0),00:00.0,1,7
8,"This Raspberry Pi project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,Transform your TV into a smart entertainment center using Raspberry Pi.,,,,,,,,main_arduino-23.png,,INTERMEDIATE,Arduino  (8-8-1-2-0),00:00.0,1,8
9,"This Robotics project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,Robotic arm with servo control for automation tasks and teaching robotics.,,,,,,,,main_arduino-24.png,,INTERMEDIATE,Arduino  (9-9-1-2-0),54:53.0,1,9
10,"This IoT project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,IoT-based plant health tracker using moisture and light sensors.,,,,,,,,main_arduino-25.png,,INTERMEDIATE,Arduino  (10-10-1-2-0),00:00.0,1,10
11,"This Sensors project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,"Portable PM2.5, temperature and humidity monitoring device.",,,,,,,,main_arduino-31.png,,ADVANCE,Arduino  (11-11-1-3-0),00:00.0,1,11
12,"This Raspberry Pi project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,Two-way mirror with Raspberry Pi displaying weather and calendar.,,,,,,,,main_arduino-31.png,,ADVANCE,Arduino  (12-12-1-3-0),00:00.0,1,12
13,"This PCB Design project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,Efficient voltage regulator board with custom PCB layout.,,,,,,,,main_arduino-32.png,,ADVANCE,Arduino  (13-13-1-3-0),00:00.0,1,13
14,"This STM32 project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,Lightweight drone flight controller developed using STM32 MCU.,,,,,,,,main_arduino-33.png,,ADVANCE,Arduino  (14-14-1-3-0),00:00.0,1,14
15,"This Robotics project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,Simple robotics project using IR sensors and Arduino.,,,,,,,,main-esp32-11.png,,BEGINNER,ESP32 (15-15-2-1-0),00:00.0,2,15
16,"This IoT project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,AI-enabled thermostat using ESP32 with temperature prediction.,,,,,,,,main-esp32-12.png,,BEGINNER,ESP33 (16-16-2-1-0),00:00.0,2,16
17,"This Arduino project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,1,Arduino-controlled security lock using RFID authentication.,,,,,,,,main-esp32-13.png,,BEGINNER,ESP34 (17-17-2-1-1),00:00.0,2,17
18,"This ESP32 project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,Vehicle tracking system with GPS and IoT cloud logging.,,,,,,,,main-esp32-14.png,,BEGINNER,ESP35 (18-18-2-1-0),00:00.0,2,18
19,"This PCB Design project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,Modular PCB with multiple integrated environmental sensors.,,,,,,,,main-esp32-15.png,,BEGINNER,ESP36 (19-19-2-1-0),00:00.0,2,19
20,"This Raspberry Pi project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,"Always-on home server with backups, media, and file storage.",,,,,,,,main-esp32-16.png,,BEGINNER,ESP37 (20-20-2-1-0),00:00.0,2,20
21,"This Arduino project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,Automated pet feeder with scheduling and weight sensors.,,,,,,,,main-esp32-17.png,,BEGINNER,ESP38 (21-21-2-1-0),00:00.0,2,21
22,"This ESP32 project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,Low-power ESP32-based weather node powered by a small solar panel.,,,,,,,,main-esp32-18.png,,BEGINNER,ESP39 (22-1-2-1-0),00:00.0,2,1
23,"This Arduino project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,Arduino-controlled LED matrix sign configurable via Bluetooth app.,,,,,,,,main-esp32-19.png,,BEGINNER,ESP40 (23-2-2-1-0),00:00.0,2,2
24,"This Raspberry Pi project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,"Raspberry Pi dashboard showing live CO2, temperature and humidity levels.",,,,,,,,main-esp32-22.png,,INTERMEDIATE,ESP41 (24-3-2-2-0),00:00.0,2,3
25,"This STM32 project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,Programmable waveform generator using an STM32 and DAC output.,,,,,,,,main-esp32-23.png,,INTERMEDIATE,ESP42 (25-4-2-2-0),00:00.0,2,4
26,"This IoT project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,Long-range soil and climate monitoring network for smart farming.,,,,,,,,main-esp32-24.png,,INTERMEDIATE,ESP43 (26-5-2-2-0),00:00.0,2,5
27,"This Robotics project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,DIY robotic vacuum platform with basic room mapping.,,,,,,,,main-esp32-31.png,,ADVANCE,ESP44 (27-6-2-3-0),00:00.0,2,6
28,"This ESP32 project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,ESP32-based garage door opener with smartphone control.,,,,,,,,main-esp32-32.png,,ADVANCE,ESP45 (28-7-2-3-0),00:00.0,2,7
29,"This STM32 project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,Low-cost fitness tracker using STM32 and Bluetooth LE.,,,,,,,,main-esp32-33.png,,ADVANCE,ESP46 (29-8-2-3-0),00:00.0,2,8
30,"This PCB Design project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,Compact PCB design for a stereo audio amplifier.,,,,,,,,main-esp32-34.png,,ADVANCE,ESP47 (30-1-2-3-0),00:00.0,2,1
31,"This IoT project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,"Automated greenhouse system managing light, temperature and irrigation.",,,,,,,,main-iot-11.png,,BEGINNER,IoT (31-2-3-1-0),00:00.0,3,2
32,"This Robotics project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,Two-wheeled self-balancing robot using IMU sensors.,,,,,,,,main-iot-12.png,,BEGINNER,IoT (32-3-3-1-0),00:00.0,3,3
33,"This STM32 project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,Battery-optimized STM32 sensor node with deep sleep strategy.,,,,,,,,main-iot-13.png,,BEGINNER,IoT (33-4-3-1-0),00:00.0,3,4
34,"This IoT project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,Central dashboard for monitoring and controlling home lighting.,,,,,,,,main-iot-14.png,,BEGINNER,IoT (34-5-3-1-0),00:00.0,3,5
35,"This Sensors project demonstrates innovative use of modern electronics and microcontroller technology. It combines practical hardware design with efficient software implementation to create a functional and reliable system.The system integrates multiple sensors and actuators to achieve its functionality. The project has been designed with modularity in mind, allowing easy customization and expansion for different use cases. All components are readily available from common electronics suppliers, making this project accessible to makers of all skill levels.Detailed build instructions, code comments, and troubleshooting tips are provided to ensure successful replication. The project has been thoroughly tested and validated by the community, with many successful builds reported.",00:00.0,0,"Conference badge with motion, temperature and proximity sensors.",,,,,,,,main-iot-15.png,,BEGINNER,IoT (35-6-3-1-0),00:00.0,3,6
